Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Satin Creditcare,539404,SATIN,INE836B01017,Finance,Microfinance Institutions,172.15,11.87,192.06,1.69,3.68,7.53,17.39,9640.34,15.97,6.14,4.89,1.20,0.66,-1.57,2621.24,1.20,-5.55,51.79,2353.21,4.34,1.32,-3.37,26.43,0.00,4.34,4.89,2865.01,50.43,0.00,2595.26,1305.09,6.56,1311.74,27.27,1284.47,1048.61,235.77,-0.09,110.04,0.00,2511.20,7296.03,1495.41,12850.92,2784.87,569.99,1444.93,1194.25,28.80,1432.37,192.06,-563.40,-582.34,-45.39,913.81,1900.28
Saurashtra Cem.,502175,SAURASHCEM,INE626A01014,Cement & Cement Products,Cement & Cement Products,62.00,1.86,29.46,0.14,0.07,0.23,2.56,65.70,9.92,5.60,1.16,5.37,0.40,119.80,953.01,5.37,0.55,9.41,1041.15,1.68,2.79,22.73,-184.19,0.00,1.68,0.72,1697.45,4.64,-0.08,1537.62,44.57,25.39,61.76,42.28,19.48,13.61,14.07,8.20,111.25,0.00,841.76,134.50,1.21,1577.43,572.96,495.12,78.76,10.14,43.20,54.44,28.49,30.23,-54.01,-5.25,26.79,687.03
Sayaji Hotels,523710,SAYAJIHOTL,INE318C01014,Leisure Services,Hotels & Resorts,288.00,5.91,-16.65,0.74,1.12,1.31,-9.51,162.34,-0.44,32.93,1.02,-0.21,3.41,22.09,145.41,-0.21,0.08,78.05,178.43,1.76,3.49,18.26,196.78,0.00,1.76,0.84,150.79,11.29,0.00,138.28,27.44,3.40,30.84,15.37,15.47,10.46,5.01,0.00,17.52,0.00,127.89,26.92,123.50,334.24,36.21,35.65,17.02,13.84,23.43,-2.94,-16.65,28.13,-11.86,-33.29,6.72,513.59
Sayaji Industr,540728,,INE327G01032,Agricultural Food & other Products,Other Agricultural Products,100.74,-7.62,-17.32,-7.48,3.50,-40.77,-6.84,274.76,0.10,25.34,0.55,0.02,0.24,-13.53,87.98,0.02,-0.65,-24.75,145.91,5.79,2.45,-7.61,73.60,0.00,5.79,0.25,1050.72,1.35,0.35,1003.95,-10.18,35.49,-3.24,19.41,-22.65,19.23,-13.33,28.55,12.64,0.00,75.34,180.26,41.04,560.71,211.97,385.31,14.15,24.05,20.32,0.52,-16.84,-33.48,-31.07,3.85,30.36,254.67
SBC Exports,542725,SBC,INE04AK01028,Textiles & Apparels,Garments & Apparels,33.32,16.98,30.05,5.35,2.82,24.45,0.63,198.60,2.25,42.71,1.24,4.08,4.43,-42.36,70.55,4.08,,14.85,89.94,4.10,9.31,-22.83,141.54,0.00,4.10,0.83,357.91,8.96,0.00,298.53,18.73,8.99,26.12,1.60,24.52,7.76,18.36,1.60,47.62,0.00,22.93,54.45,81.82,343.41,306.06,246.55,32.06,9.74,1.63,39.78,30.05,-69.45,-75.87,-4.59,81.94,1585.25
SBEC Sugar,532102,,INE948G01019,Agricultural Food & other Products,Sugar,30.00,12.40,-25.58,-2.61,,,-5.37,300.68,3.98,12.44,0.11,0.41,0.24,6.61,-111.60,0.41,-0.66,-16.16,-192.33,-12.58,0.53,2.04,-8.26,0.00,-12.58,0.05,598.63,5.54,0.00,630.48,39.89,0.52,40.41,19.37,21.04,38.75,-17.71,0.00,47.65,0.00,-159.25,0.00,202.06,451.76,49.29,455.23,33.15,42.15,17.81,17.46,-25.58,70.08,67.90,-2.04,-68.58,142.96
SBFC Finance,543959,SBFC,INE423Y01016,Finance,Non Banking Financial Company (NBFC),94.97,11.80,450.83,4.58,1.92,13.04,4.07,7161.71,6.70,14.66,3.87,2.12,6.26,-7.00,3725.15,2.12,-0.99,15.89,871.99,2.64,2.54,-5.55,85.57,0.00,2.64,3.87,1678.82,69.12,-0.47,1678.82,1160.39,0.68,1161.07,20.11,1140.96,537.37,603.59,0.00,1105.70,0.00,2619.45,5264.32,0.00,11085.40,749.48,193.45,1160.39,537.37,20.11,1140.96,450.83,-1892.70,-1907.39,130.99,1977.35,10505.40
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1111.80,6.47,81060.31,1.15,10.90,17.20,91.71,6452558.39,5.83,17.15,0.96,1.36,2.01,-119.76,592015.90,1.36,-3.75,80.13,22576.40,14.42,0.55,21.16,48.13,18.30,14.42,0.96,511355.90,44.66,0.02,490937.79,238894.58,172405.53,411316.34,3991.48,407324.86,300943.34,106365.29,-16.23,923.06,0.00,591092.84,610857.25,5439898.02,7881069.77,784127.59,817288.59,228356.79,313278.43,0.00,425101.15,86537.15,48486.29,42849.07,-3386.58,-13739.08,1025887.38
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),671.00,10.10,2166.71,3.29,2.80,14.69,22.77,44063.73,5.67,17.25,0.55,1.95,3.21,-18.93,15725.50,1.95,-0.76,20.34,-2197.26,4.19,2.43,-29.82,104.75,10.98,4.19,0.55,19899.63,26.70,0.34,19899.63,5313.03,807.99,6121.02,136.25,5984.77,3071.58,2913.19,0.00,951.60,0.00,14773.90,29974.35,14972.26,66327.79,2944.28,5372.66,5313.03,3071.58,136.25,5984.77,2166.71,-2140.46,-2195.84,-2490.57,4686.51,63823.81
Setco Automotive,505075,SETCO,INE878E01021,Auto Components,Auto Components & Equipments,24.50,21.06,-130.34,-22.25,,,-9.76,1177.53,6.21,12.26,0.19,0.39,0.43,5.45,-780.07,0.39,-3.06,-9.32,-769.20,-0.81,-1.24,3.69,-6.50,0.00,-0.81,0.07,764.94,15.07,0.00,690.65,109.18,11.14,120.89,32.09,88.80,217.41,-129.18,-0.57,26.75,0.00,-806.82,1081.83,33.89,550.66,229.13,1217.41,115.28,239.24,28.67,92.71,-162.52,89.24,82.81,-5.35,-77.41,329.24
SG Finserve,539199,SGFIN,INE618R01015,Finance,Non Banking Financial Company (NBFC),546.90,9.32,127.66,3.87,1.85,10.32,19.56,2704.16,5.00,19.92,55.56,2.28,10.83,-4.02,1460.22,2.28,-1.32,21.18,241.42,2.26,2.26,-2.30,85.42,0.00,2.26,55.56,333.41,91.91,2.61,333.41,306.44,0.25,306.69,0.68,306.01,134.46,171.55,0.00,65.27,0.00,1394.95,1384.66,0.00,4173.40,243.36,4.38,306.44,134.46,0.68,306.01,127.66,-1571.48,-1572.49,61.29,1631.58,3610.56
Sh. Bajrang All.,526981,SHBAJRG,INE402H01015,Industrial Products,Iron & Steel Products,168.00,0.97,36.19,7.38,0.23,10.25,40.21,81.17,1.65,33.20,1.09,1.84,0.52,-12.56,355.45,1.84,1.51,2.49,56.84,1.32,2.22,-6.69,25.67,0.00,1.32,0.38,304.13,1.53,0.00,398.36,4.19,2.82,7.05,3.21,3.84,1.26,2.54,-0.04,9.00,0.00,346.45,17.36,80.24,485.83,115.72,105.70,4.65,2.14,3.28,3.93,36.19,-23.66,-27.60,-14.59,36.91,158.40
Sh.Renuka Sugar,532670,RENUKA,INE087H01022,Agricultural Food & other Products,Sugar,28.05,10.64,-578.30,-3.08,,,-2.72,6266.10,0.98,29.82,0.37,0.16,0.64,8.78,-2320.00,0.16,-0.92,-20.90,946.20,-5.67,1.77,6.28,-155.89,0.00,-5.67,0.12,9397.70,2.90,0.00,10907.27,609.01,118.98,735.64,279.57,456.07,811.04,-362.62,-7.65,212.80,0.00,-2532.80,444.57,5444.48,6701.30,2091.20,5614.10,272.40,746.90,289.20,118.70,-577.90,950.43,762.23,-215.98,-709.65,5970.42
Shadowfax Technologies,544685,SHADOWFAX,INE12UN01015,Transport Services,Logistics Solution Provider,156.26,4.38,6.43,0.63,0.98,2.25,0.42,392.71,0.30,100.19,1.14,1.28,3.66,-350.59,745.65,1.28,,61.07,399.07,2.56,14.49,182.22,260.67,0.00,2.56,1.14,2485.13,2.54,,2485.13,63.18,29.53,92.71,65.24,27.47,21.41,6.06,0.00,497.49,260.48,248.16,6.46,125.77,1259.26,563.70,493.88,63.18,21.41,65.24,27.47,6.43,49.87,-36.22,-119.27,130.39,9087.11
Shah Alloys,513436,SHAHALLOYS,INE640C01011,Industrial Products,Iron & Steel Products,71.25,-25.75,-7.21,-8.73,,-1108.43,21.18,79.37,-0.34,33.77,0.20,-0.17,2.09,11.72,-10.26,-0.17,0.15,-4.02,-92.81,-29.39,0.47,-31.28,26.56,0.00,-29.39,0.09,67.55,9.65,0.00,266.52,-12.51,0.76,-11.75,9.19,-20.94,4.48,-25.42,0.00,19.80,0.00,-30.06,0.00,78.92,189.84,38.84,194.36,6.52,4.29,7.27,-0.75,41.94,-4.51,-3.74,1.32,5.61,141.06
Shahlon Silk,542862,,INE052001026,Textiles & Apparels,Other Textile Products,22.40,9.57,3.77,1.11,1.19,3.20,0.44,127.29,7.19,11.40,2.52,1.38,0.83,17.05,107.32,1.38,-0.52,36.37,197.22,2.85,3.16,22.53,152.69,17.86,2.85,1.43,240.34,11.60,0.00,251.27,28.44,1.06,29.12,6.40,22.72,17.18,5.92,0.38,17.86,0.00,89.46,120.55,12.98,305.08,241.53,95.71,27.88,16.92,5.15,23.41,3.90,8.88,5.44,-2.83,-5.93,200.03
Shalimar Paints,509874,SHALPAINTS,INE849C01026,Consumer Durables,Paints,51.76,-12.80,-62.48,-11.69,0.67,-22.64,-8.01,189.60,-6.64,-29.52,0.98,-1.54,0.72,-7.22,284.45,-1.54,-0.53,-2.37,300.68,2.18,2.26,-7.37,-19.59,0.00,2.18,0.66,597.53,-5.33,0.00,599.06,-56.68,9.84,-46.84,15.77,-62.61,17.55,-80.16,0.00,16.74,0.00,267.71,138.16,25.70,687.77,370.08,375.95,-31.83,24.56,18.49,-37.92,-67.08,-58.61,-82.85,-14.44,27.31,431.99
Sheela Foam,540203,SFL,INE916U01025,Consumer Durables,"Furniture, Home Furnishing",527.15,3.52,94.56,1.12,0.41,2.02,8.26,1257.41,3.07,17.18,0.84,1.95,1.59,-10.03,3079.73,1.95,0.05,13.00,3004.61,1.78,3.40,22.84,110.57,0.00,1.78,0.58,3620.38,8.55,0.00,3439.19,252.42,159.01,341.46,182.61,158.85,120.54,108.28,69.97,54.60,0.00,3025.13,377.80,1084.56,5176.97,1223.39,1451.10,309.70,109.54,192.86,213.93,91.26,252.33,145.67,-28.78,-226.32,5764.13
Shemaroo Entert.,538685,SHEMAROO,INE363M01019,Entertainment,Media & Entertainment,110.00,-9.31,-151.62,-8.95,0.78,-16.58,-55.50,297.38,-30.53,-3.49,1.68,-5.42,0.46,17.61,381.55,-5.42,-0.71,-3.52,308.22,2.00,1.79,3.92,-5.32,0.00,2.00,0.46,647.85,-27.05,1.70,685.10,-79.76,8.44,-71.33,6.05,-77.38,36.98,-114.35,0.01,27.32,0.00,354.23,134.24,170.00,785.64,656.97,391.59,-175.26,31.86,6.03,-172.62,-151.14,75.15,72.53,-1.48,-72.73,294.95
Shilp Gravures,513709,,INE960A01017,Industrial Products,"Aluminium, Copper & Zinc Products",186.55,2.28,8.43,1.45,0.08,1.70,9.76,8.70,8.06,8.02,4.01,31.90,1.18,18.68,103.28,31.90,0.61,2.35,103.33,1.16,4.11,11.54,30.51,34.81,1.16,3.66,97.15,11.91,0.00,91.52,7.16,3.18,7.77,5.48,2.29,0.37,4.49,2.57,6.15,0.00,97.13,0.18,0.62,126.59,68.82,17.18,11.57,0.31,5.41,9.89,6.00,9.94,7.01,-2.78,-4.86,114.73
Shiva Cement,532323,,INE555C01029,Cement & Cement Products,Cement & Cement Products,19.80,-2.97,-148.46,-8.47,39.62,,-5.09,1602.92,-1.67,447.70,0.58,-0.29,1.39,-2.40,40.46,-0.29,-2.77,-11.25,1104.28,27.71,0.59,-10.34,-18.12,0.00,27.71,0.33,420.15,-0.14,0.06,311.17,-6.22,1.60,0.52,42.07,-41.55,115.40,-162.09,-5.14,59.00,115.04,-18.54,703.26,641.41,1912.73,187.52,323.59,-0.57,126.13,40.92,-36.08,-150.13,-56.50,-268.01,-209.73,261.12,584.10
Shivam Autotech,532776,SHIVAMAUTO,INE637H01024,Auto Components,Auto Components & Equipments,19.20,3.35,-68.32,-8.91,192.05,-110.51,-5.28,338.00,-0.48,19.13,0.38,-0.05,0.61,4.68,1.76,-0.05,-0.58,-7.04,64.81,17.16,1.11,3.23,-10.65,0.00,17.16,0.16,407.98,7.07,0.00,453.98,44.42,2.50,46.85,33.18,13.67,59.41,-45.67,0.07,26.30,0.00,-24.54,247.70,90.92,476.93,136.41,361.87,28.85,60.93,33.44,-2.83,-69.37,77.39,70.30,-6.42,-71.36,249.96
Shoppers Stop,532638,SHOPERSTOP,INE498B01024,Retailing,Diversified Retail,297.85,7.96,-5.31,0.19,11.56,3.39,-1.61,3323.79,4.09,8.34,0.84,0.94,0.67,8.51,287.57,0.94,-0.62,305.21,2456.52,17.73,1.75,5.99,107.46,0.00,17.73,0.19,4897.52,14.90,0.36,4627.64,708.41,54.12,761.98,494.32,267.66,261.20,7.01,0.55,55.04,0.00,232.53,318.09,2996.00,6206.58,2693.70,3198.21,729.69,287.61,521.75,269.74,-17.74,548.52,369.41,-169.03,-408.71,3288.17
Shraddha Prime,531771,,INE311M01018,Realty,"Residential, Commercial Projects",164.00,16.30,38.10,8.31,2.28,36.90,9.40,218.55,6.69,14.92,2.42,149.38,1.79,-9.36,93.79,149.38,,8.77,293.53,3.80,4.03,-8.88,48.36,6.87,3.80,0.87,370.18,13.76,0.00,155.58,30.56,4.58,35.14,0.06,35.08,0.33,34.75,0.00,40.40,0.00,53.39,186.93,2.50,522.70,500.05,206.83,50.93,0.39,0.12,58.26,36.83,-74.63,-74.82,-1.45,85.38,662.57
Shree Salasar,503635,,INE315N01017,Finance,Other Financial Services,405.70,2.81,13.78,1.10,1.27,5.58,19.76,75.26,6.53,15.32,0.26,5.25,2.85,-8.32,59.23,5.25,-0.51,30.72,-135.26,4.37,1.85,-10.64,52.57,0.00,4.37,0.26,99.08,23.29,0.00,44.55,3.55,0.00,3.55,0.02,3.53,0.05,3.48,0.00,6.97,0.00,52.26,83.38,1.81,296.99,47.83,183.25,23.08,4.42,0.01,23.19,13.82,-26.59,-26.62,-0.32,25.56,282.85
Shree Vasu Logis,,SVLL,INE00CE01017,Transport Services,Logistics Solution Provider,566.95,16.63,3.51,1.34,2.37,6.58,3.05,88.19,2.75,14.09,0.75,1.28,3.22,67.29,37.15,1.28,-0.04,40.27,135.86,4.74,5.54,37.24,-958.28,0.00,4.74,0.70,202.46,24.51,0.01,145.99,37.94,1.33,39.24,24.25,14.99,12.21,2.81,0.03,11.49,0.00,25.66,57.58,9.36,241.80,64.35,85.67,49.63,15.83,32.15,20.29,3.51,17.50,3.24,-13.81,-3.82,651.63
Shri Gang Indus,523309,,INE241V01018,Beverages,Breweries & Distilleries,83.00,42.66,15.25,18.47,6.77,,8.04,82.14,12.04,7.01,0.30,5.07,0.48,14.83,12.89,5.07,-0.18,2.80,79.36,17.39,4.42,3.70,11.85,0.00,17.39,0.08,343.40,10.15,2.99,324.21,48.44,0.62,49.06,5.53,43.53,9.52,34.01,0.00,19.03,1.47,-6.14,32.94,57.91,151.39,20.64,67.82,34.85,5.88,5.54,29.80,15.25,44.77,38.87,-5.87,-40.38,165.84
Shri Keshav,530977,,INE260E01014,Cement & Cement Products,Cement & Cement Products,149.00,5.25,-1.17,-1.61,2.41,-6.21,-0.67,241.58,5.19,12.48,0.61,1.28,1.71,-14.48,100.04,1.28,-0.57,-39.15,303.47,3.98,1.77,9.05,-483.22,0.00,3.98,0.27,152.48,24.20,1.34,121.45,25.20,3.15,28.35,11.92,16.43,18.13,-1.70,0.00,17.51,0.00,82.53,225.59,8.38,421.56,64.03,104.36,36.90,20.15,13.96,25.73,-1.17,28.82,-43.24,-55.82,26.27,260.94
Shri Venkatesh,543373,,INE0HLJ01013,Agricultural Food & other Products,Edible Oil,240.00,14.57,25.27,6.35,2.11,20.70,11.42,231.77,6.25,15.44,1.44,3.43,0.56,-21.59,109.89,3.43,-0.49,12.82,203.83,2.99,4.86,478.25,36.87,0.00,2.99,0.34,949.19,5.15,0.00,701.64,35.68,0.70,36.43,1.32,35.11,10.60,24.46,-0.05,22.12,0.00,87.77,124.29,58.53,462.05,367.83,254.82,48.88,13.85,1.69,47.45,25.27,1.11,-45.71,-46.81,45.96,530.86
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),974.25,11.47,10024.71,3.26,3.80,16.38,53.28,250691.96,7.37,13.29,3.64,1.62,4.76,-7.75,65918.59,1.62,-1.30,25.01,14690.88,4.67,1.98,-17.27,75.90,20.27,4.67,3.64,48132.95,73.67,-5.08,48132.95,35460.41,59.15,35520.11,698.90,34821.21,21521.02,13299.64,-0.55,376.31,0.00,65542.28,175597.28,58599.97,321374.52,16622.70,4567.22,35460.41,21521.02,698.90,34821.21,10024.15,-13281.43,-13475.09,-242.83,8586.79,229335.20
Shyam Dhani Ind.,,SHYAMDHANI,INE1CRP01016,Food Products,Other Food Products,71.50,24.36,8.07,11.93,1.73,41.22,5.41,48.18,6.89,13.39,1.26,5.04,1.18,-15.15,27.80,5.04,,5.99,39.33,2.87,5.17,-23.98,35.16,0.00,2.87,0.32,124.68,11.68,0.00,124.68,14.56,0.03,14.63,1.13,13.50,2.68,10.78,-0.04,14.87,0.00,12.93,44.45,2.78,88.79,60.42,47.98,14.56,2.68,1.13,13.50,8.04,-6.16,-19.99,-13.81,20.10,147.69
Sical Logistics,520086,SICALLOG,INE075B01020,Transport Services,Logistics Solution Provider,67.21,-1.29,-3.00,-5.82,238.91,-395.57,2.45,606.83,6.93,9.52,1.19,1.15,1.47,395.33,2.54,1.15,-0.65,-23.49,718.19,-170.49,1.70,26.58,-87.63,0.00,-170.49,1.19,361.63,18.65,-16.38,221.82,21.48,28.77,28.71,37.73,-9.02,43.25,-30.73,21.54,65.25,0.00,-62.71,531.59,76.21,885.44,167.76,140.40,67.44,67.03,38.52,76.75,60.19,20.01,-35.43,-63.84,-3.04,531.90
Sigachi Indust.,543389,SIGACHI,INE0D0K01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,20.99,15.54,40.16,9.15,0.29,13.50,-1.99,145.39,6.62,11.51,1.64,4.44,1.65,-15.00,507.77,4.44,-0.01,2.06,527.41,1.28,3.39,29.70,1066.51,5.49,1.28,1.27,484.14,13.61,-3.01,488.24,99.98,20.52,120.50,15.78,104.72,12.41,92.31,0.00,38.21,0.00,469.56,110.28,32.03,850.74,471.79,286.84,65.90,12.90,17.75,57.24,-74.27,26.93,-16.40,-93.07,81.10,799.88
Sigma Advanced System,532408,SIGMAADV,INE933B01012,Aerospace & Defense,Aerospace & Defense,248.55,8.74,143.24,-8.20,0.01,-18.47,18.26,3.89,4.52,21.16,8.39,14.22,26.72,210.11,280.47,14.22,0.05,-0.13,172.95,2.54,27.54,119.18,580.74,0.00,2.54,8.39,163.85,-6.90,36.15,0.00,-10.43,41.56,31.13,4.47,26.66,18.22,8.44,0.00,73.77,0.00,206.70,136.97,1.75,304.67,167.04,19.91,-11.31,13.86,8.96,197.07,134.67,36.74,19.47,-18.73,-25.89,4378.78
SignatureGlobal,543990,SIGNATURE,INE903U01023,Realty,"Residential, Commercial Projects",863.70,5.42,3.32,0.93,3.56,14.72,0.24,2589.20,0.40,155.49,1.15,0.95,6.02,156.48,726.92,0.95,-0.06,25.58,1952.27,14.68,1.70,24.15,-266.72,0.00,14.68,0.29,2009.03,-3.03,0.00,2498.02,44.20,139.97,181.49,27.38,154.11,51.71,105.08,2.68,14.05,0.00,712.87,2350.59,43.59,14573.60,14058.68,12217.20,-60.87,55.92,31.13,53.03,3.37,500.66,462.24,45.68,140.67,12093.21
Signet Industrie,512131,SIGIND,INE529F01035,Commercial Services & Supplies,Trading & Distributors,50.00,13.72,21.01,1.93,1.74,6.88,5.68,410.83,17.28,5.27,1.31,1.44,0.11,5.57,236.32,1.44,-2.07,26.27,257.98,3.45,2.72,9.22,28.11,9.41,3.45,0.91,1321.00,7.66,0.40,1179.09,87.95,2.22,90.14,9.35,80.79,58.56,22.26,0.03,29.44,20.06,206.88,224.65,143.43,889.10,797.77,610.39,101.20,64.86,9.16,93.61,16.73,15.74,11.83,-7.10,-7.92,145.07
SIL Investments,521194,SILINV,INE923A01015,Finance,Investment Company,455.80,1.53,44.23,1.05,0.00,1.16,41.74,0.00,12.62,7.59,6.05,5840.00,7.14,13.61,2878.47,5840.00,6.63,0.00,137.06,0.95,1.58,49.93,25.32,8.58,0.95,6.05,69.00,85.67,0.00,54.82,42.94,1.52,44.46,2.56,41.90,0.01,41.89,0.00,10.61,0.00,2867.86,0.00,0.00,3242.13,30.98,5.12,59.11,0.01,2.71,58.40,44.75,9.87,8.84,-14.22,-2.65,492.77
Silverline Tech,500389,,INE368A01021,IT - Software,Software Products,7.17,-0.39,22.95,-0.37,0.23,-0.59,1.47,32.60,20.28,4.92,2.88,,0.48,-3.83,140.30,,-0.85,-75.81,178.28,0.94,3.46,-1.19,27.33,0.00,0.94,2.88,232.42,10.81,0.00,33.71,-0.32,0.00,-0.32,0.10,-0.42,0.00,-0.42,0.00,155.93,0.00,-15.63,0.00,33.95,245.20,183.72,63.81,25.13,0.00,0.09,29.14,22.95,-93.87,-93.87,0.10,94.23,111.80
Simm. Marshall,507998,,INE657D01021,Auto Components,Auto Components & Equipments,180.90,14.09,13.29,5.15,1.51,21.61,11.87,75.07,7.95,9.41,1.50,2.54,0.90,21.46,49.56,2.54,-0.16,8.38,107.20,3.81,4.24,12.35,46.68,0.00,3.81,0.55,225.95,12.53,0.00,207.60,24.64,0.79,25.10,7.68,17.42,8.77,8.98,0.33,2.24,0.00,47.32,38.33,44.65,171.97,91.95,61.14,28.31,8.67,7.40,22.01,13.29,16.40,8.97,-7.26,-9.12,202.61
Simplex Infra,523838,SIMPLEXINF,INE059B01024,Construction,Civil Construction,230.65,-0.05,53.51,-0.23,1.97,-4.40,9.14,1844.49,2.73,28.03,1.97,6.52,1.79,-17.07,935.88,6.52,-1.36,152.94,1828.73,14.08,1.76,8.81,232.02,0.00,14.08,1.90,1020.23,4.78,0.00,1075.60,22.70,68.90,52.09,54.83,-2.74,15.04,21.73,39.51,15.86,0.00,920.02,1884.92,289.54,4241.37,3229.37,1642.75,48.79,14.51,29.14,94.57,65.04,207.87,177.63,-23.53,-127.42,1830.62
Sindhu Trade,532029,SINDHUTRAD,INE325D01025,Transport Services,Logistics Solution Provider,23.73,5.45,-15.50,0.70,0.27,0.35,-0.10,449.30,0.85,83.25,5.21,0.73,5.20,21.98,1645.34,0.73,0.52,3.70,693.83,2.30,3.46,-72.02,264.70,0.00,2.30,5.14,706.17,-44.65,0.00,1731.10,-225.12,567.54,210.68,55.00,155.68,121.09,166.33,131.74,154.19,0.00,1491.15,37.97,333.64,2808.39,754.82,144.84,-315.34,47.35,14.24,34.65,-15.50,-50.98,-73.51,374.32,-407.53,3671.42
Sintercom India,,SINTERCOM,INE129Z01016,Auto Components,Auto Components & Equipments,74.92,5.08,0.95,0.36,0.47,0.66,0.35,47.82,2.94,15.38,1.64,1.40,2.12,-55.89,102.12,1.40,-0.22,71.37,124.25,1.83,3.25,-69.44,557.41,0.00,1.83,0.85,97.29,16.87,0.00,90.01,15.53,0.10,15.63,8.41,7.22,5.66,1.56,0.00,27.53,0.00,74.59,32.83,15.43,198.95,111.08,67.93,16.41,5.32,9.04,7.45,0.95,-2.97,-9.16,-6.02,9.04,206.24
Sir Shadi Lal,532879,,INE117H01019,Agricultural Food & other Products,Sugar,288.00,-153.83,-22.33,-15.71,,,-45.20,360.79,0.04,41.77,0.68,0.01,0.42,-2.73,-227.73,0.01,-2.56,-8.09,38.89,-1.35,1.09,-0.60,-9.70,0.00,-1.35,0.12,359.02,2.11,0.00,268.34,-2.77,6.08,3.34,10.27,-6.93,11.59,-18.55,-0.03,5.25,0.00,-232.98,181.78,149.10,215.47,86.15,125.80,7.59,32.74,11.90,0.22,-23.73,-253.09,-266.53,-14.20,268.77,151.20
SIS,540673,SIS,INE285J01028,Other Consumer Services,Other Consumer Services,341.70,5.47,343.81,0.18,0.67,0.45,-12.96,1687.08,10.36,7.31,1.54,3.50,0.32,16.22,2514.38,3.50,0.21,143.09,3070.09,2.50,4.47,6.51,41.36,0.00,2.50,1.53,14920.10,4.52,-0.14,13189.04,297.87,93.90,385.89,163.78,222.11,160.65,67.34,5.88,70.50,0.00,2443.88,1501.60,143.84,6697.65,4400.76,2864.08,674.36,163.69,183.44,573.67,-188.04,742.29,602.12,-475.87,-14.50,4830.94
SJVN,533206,SJVN,INE002L01015,Power,Power Generation,80.41,4.91,632.46,1.92,2.03,5.81,1.61,29567.02,3.42,20.68,0.65,2.13,8.94,-6.90,14586.65,2.13,-0.64,36.14,38694.98,3.01,1.60,12.73,140.87,70.00,3.01,0.63,3536.22,72.99,0.00,3072.01,2223.48,307.79,2533.48,676.21,1857.27,743.37,1111.69,-2.21,3929.80,0.00,10656.85,16641.25,10383.94,48813.57,4548.88,7041.52,2581.03,935.13,822.62,1987.63,631.97,2482.95,-4185.81,-6429.63,3939.00,31607.61
SK Minerals & Additives,544584,,INE13YH01017,Chemicals & Petrochemicals,Specialty Chemicals,279.95,32.29,10.94,16.93,2.63,60.14,12.16,80.59,4.42,21.62,1.38,5.42,1.62,-36.55,30.68,5.42,,7.37,38.09,2.73,7.44,-117.75,48.81,0.00,2.73,1.02,211.67,9.02,0.00,211.67,19.09,0.48,19.57,0.87,18.70,3.45,15.25,0.00,9.00,0.00,21.68,37.46,7.27,121.25,114.35,82.67,19.09,3.45,0.87,18.70,10.94,-2.91,-3.89,-0.98,7.11,342.66
Smartlink Hold.,532419,SMARTLINK,INE178C01020,IT - Hardware,Computers Hardware & Equipments,131.10,3.35,10.12,2.58,0.02,3.42,10.15,3.01,8.89,8.24,3.25,13.20,0.55,-22.18,200.21,13.20,0.93,0.46,163.57,1.30,3.47,-21.17,57.66,0.00,1.30,2.70,235.42,1.63,0.00,214.53,-1.12,11.91,10.79,3.73,7.06,1.73,5.33,0.00,2.00,0.00,198.21,1.17,2.70,264.16,188.81,58.05,3.83,0.88,3.98,11.62,10.12,-6.10,-9.47,35.66,-29.29,129.15
Smartworks Cowor,544447,SMARTWORKS,INE0NAZ01010,Commercial Services & Supplies,Diversified Commercial Services,433.35,6.97,-14.40,-1.47,8.60,-81.99,-1.38,4381.83,3.73,8.27,0.39,0.96,3.02,10.98,509.34,0.96,-0.55,-69.35,3994.84,40.78,1.80,5.32,3982.41,0.00,40.78,0.39,1634.55,64.19,0.14,1374.06,857.27,35.61,891.34,636.00,255.34,336.34,-79.46,1.54,114.26,0.00,395.08,389.24,3348.13,5811.45,501.48,1274.49,1049.19,350.56,756.67,337.22,-14.40,928.52,637.62,-276.08,-637.71,4938.19
